,样本数,均值(ms),标准差(ms),P50(ms),P95(ms),P99(ms)
Default,5.0,40.49523877818428,3.721071666261554,39.24097408205893,45.297300323513,45.85796179588413
Expert,5.0,45.75948837139811,5.140387448247044,46.60478387842719,49.84150697077975,50.0577206773096
Bayesian-Opt,5.0,50.87882972829221,2.8617089903351998,50.83487637660136,54.43606049054102,54.92544819179009
Prioritized-DQN,5.0,49.43580840999003,7.222835179945159,48.8808037894751,58.024709112288285,58.826504416873675
V9-Full,10.0,55.3115515285435,4.466209764255565,56.05459149365435,61.28974011758923,61.804990241970756
