Method,QPS_mean,QPS_std,Latency_mean,Latency_std,ErrorRate_mean,ErrorRate_std,SuccessRate_mean,SuccessRate_std,CPU_mean,CPU_std,Memory_mean,Memory_std
Default,161.78153259730487,31.273232398283643,45.48983863931244,4.451570947279234,0.02044609773200073,0.0037320135529972684,0.9795539022679993,0.00373201355299725,2.093333333333333,2.0113136791782087,2085.979557291667,0.7904073771707484
Expert,146.517565030743,29.18221913577807,43.43059797572134,5.103933832251475,0.02044609773200073,0.0037320135529972684,0.9795539022679993,0.00373201355299725,8.383333333333333,15.688757081599297,2150.766015625,36.210214129012186
Bayesian-Opt,181.28567526017042,21.567017309052265,50.45585897739001,4.083134996416713,0.02609523520979426,0.0039060871850097128,0.9739047647902057,0.003906087185009739,2.2966666666666664,3.4886571048272614,2155.21875,22.663969548477642
Prioritized-DQN,171.45179732166102,26.860218354915997,50.67312128776602,4.8760276160619815,0.030548390368675127,0.0060785273348804535,0.9660688278096737,0.008442462543661197,3.44,2.3369707098646813,2246.3207031250004,38.701594945666
